"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","numPic","interval","test","exp","day.and.time","correct","include","first.trial","numPicN","intervalN"
"1","1197","Aug 06 2013","04:24:52",13,0,"New Label",0,"Novel16",0,"Novel16",1,4879,"2","7",1,"Exp 2",15923.1839351852,TRUE,TRUE,TRUE,2,7
"2","1197","Aug 06 2013","04:24:52",14,1,"Same",1,"Novel13",0,"Novel13",0,2345,"2","7",1,"Exp 2",15923.1839351852,TRUE,TRUE,FALSE,2,7
"3","1197","Aug 06 2013","04:24:52",15,2,"New Label",1,"Novel32",1,"Novel109",0,1815,"2","7",1,"Exp 2",15923.1839351852,FALSE,TRUE,FALSE,2,7
"4","1197","Aug 06 2013","04:24:52",16,3,"Same",1,"Novel122",1,"Novel122",1,1718,"2","7",1,"Exp 2",15923.1839351852,TRUE,TRUE,FALSE,2,7
"5","1197","Aug 06 2013","04:24:52",17,4,"New Label",0,"Novel121",1,"Novel103",1,2184,"2","7",1,"Exp 2",15923.1839351852,FALSE,TRUE,FALSE,2,7
"6","1197","Aug 06 2013","04:24:52",18,5,"Same",0,"Novel74",1,"Novel102",1,3219,"2","7",1,"Exp 2",15923.1839351852,FALSE,TRUE,FALSE,2,7
"7","1197","Aug 06 2013","04:24:52",19,6,"New Label",1,"Novel35",1,"Novel35",1,3727,"2","7",1,"Exp 2",15923.1839351852,TRUE,TRUE,FALSE,2,7
"8","1197","Aug 06 2013","04:24:52",20,7,"Same",0,"Novel24",1,"Novel24",0,3658,"2","7",1,"Exp 2",15923.1839351852,TRUE,TRUE,FALSE,2,7
"9","1198","Aug 14 2013","18:46:55",6,0,"Same",1,"Novel14",1,"Novel14",1,1507,"4","0",1,"Exp 2",15931.7825810185,TRUE,TRUE,TRUE,4,0
"10","1198","Aug 14 2013","18:46:55",8,1,"New Label",1,"Novel9",1,"Novel127",2,2615,"4","0",1,"Exp 2",15931.7825810185,FALSE,TRUE,FALSE,4,0
"11","1198","Aug 14 2013","18:46:55",10,2,"Same",0,"Novel95",0,"Novel95",1,1357,"4","0",1,"Exp 2",15931.7825810185,TRUE,TRUE,FALSE,4,0
"12","1198","Aug 14 2013","18:46:55",12,3,"New Label",1,"Novel24",3,"Novel5",1,5366,"4","0",1,"Exp 2",15931.7825810185,FALSE,TRUE,FALSE,4,0
"13","1198","Aug 14 2013","18:46:55",14,4,"Same",1,"Novel139",3,"Novel139",3,1100,"4","0",1,"Exp 2",15931.7825810185,TRUE,TRUE,FALSE,4,0
"14","1198","Aug 14 2013","18:46:55",16,5,"New Label",0,"Novel111",3,"Novel23",0,1639,"4","0",1,"Exp 2",15931.7825810185,FALSE,TRUE,FALSE,4,0
"15","1198","Aug 14 2013","18:46:55",18,6,"Same",0,"Novel125",1,"Novel125",2,980,"4","0",1,"Exp 2",15931.7825810185,TRUE,TRUE,FALSE,4,0
"16","1198","Aug 14 2013","18:46:55",20,7,"New Label",0,"Novel19",1,"Novel90",1,3451,"4","0",1,"Exp 2",15931.7825810185,FALSE,TRUE,FALSE,4,0
"17","1199","Aug 05 2013","23:25:59",9,0,"Same",1,"Novel121",3,"Novel121",3,1832,"8","3",1,"Exp 2",15922.9763773148,TRUE,TRUE,TRUE,8,3
"18","1199","Aug 05 2013","23:25:59",10,1,"New Label",1,"Novel11",4,"Novel7",3,4566,"8","3",1,"Exp 2",15922.9763773148,FALSE,TRUE,FALSE,8,3
"19","1199","Aug 05 2013","23:25:59",11,2,"Same",1,"Novel130",4,"Novel1",3,9072,"8","3",1,"Exp 2",15922.9763773148,FALSE,TRUE,FALSE,8,3
"20","1199","Aug 05 2013","23:25:59",12,3,"New Label",1,"Novel78",4,"Novel92",7,3613,"8","3",1,"Exp 2",15922.9763773148,FALSE,TRUE,FALSE,8,3
"21","1199","Aug 05 2013","23:25:59",17,4,"Same",0,"Novel87",1,"Novel59",6,2980,"8","3",1,"Exp 2",15922.9763773148,FALSE,TRUE,FALSE,8,3
"22","1199","Aug 05 2013","23:25:59",18,5,"New Label",0,"Novel35",6,"Novel8",2,2716,"8","3",1,"Exp 2",15922.9763773148,FALSE,TRUE,FALSE,8,3
"23","1199","Aug 05 2013","23:25:59",19,6,"Same",0,"Novel110",5,"Novel12",1,5113,"8","3",1,"Exp 2",15922.9763773148,FALSE,TRUE,FALSE,8,3
"24","1199","Aug 05 2013","23:25:59",20,7,"New Label",0,"Novel24",1,"Novel66",0,3122,"8","3",1,"Exp 2",15922.9763773148,FALSE,TRUE,FALSE,8,3
"25","1200","Aug 10 2013","11:59:57",13,0,"Same",1,"Novel106",1,"Novel106",1,2302,"4","7",1,"Exp 2",15927.4999652778,TRUE,TRUE,TRUE,4,7
"26","1200","Aug 10 2013","11:59:57",14,1,"New Label",0,"Novel19",0,"Novel140",1,2537,"4","7",1,"Exp 2",15927.4999652778,FALSE,TRUE,FALSE,4,7
"27","1200","Aug 10 2013","11:59:57",15,2,"Same",0,"Novel28",3,"Novel28",2,2345,"4","7",1,"Exp 2",15927.4999652778,TRUE,TRUE,FALSE,4,7
"28","1200","Aug 10 2013","11:59:57",16,3,"New Label",1,"Novel130",3,"Novel114",2,3090,"4","7",1,"Exp 2",15927.4999652778,FALSE,TRUE,FALSE,4,7
"29","1200","Aug 10 2013","11:59:57",17,4,"Same",0,"Novel45",0,"Novel45",3,4187,"4","7",1,"Exp 2",15927.4999652778,TRUE,TRUE,FALSE,4,7
"30","1200","Aug 10 2013","11:59:57",18,5,"New Label",1,"Novel110",2,"Novel108",1,2323,"4","7",1,"Exp 2",15927.4999652778,FALSE,TRUE,FALSE,4,7
"31","1200","Aug 10 2013","11:59:57",19,6,"Same",1,"Novel17",3,"Novel17",3,1649,"4","7",1,"Exp 2",15927.4999652778,TRUE,TRUE,FALSE,4,7
