"","chosen_idx","rt","prev_other","chosen","prev_other_idx","prev_chosen","trialType","prev_chosen_idx","itemNum","samePos","worker","numPics","comp.chosen","comp.other","correct","familiar","Target","Competitor"
"1",0,1213,"","squirrel",0,"","Practice",0,0,1,1,2,NA,NA,NA,NA,NA,NA
"2",0,1213,"","squirrel",0,"","Practice",0,0,1,1,2,NA,NA,NA,NA,NA,NA
"3",0,981,"","tomato",0,"","Practice",0,0,1,1,2,NA,NA,NA,NA,NA,NA
"4",1,902,"","tomato",0,"","Practice",0,0,1,1,2,NA,NA,NA,NA,NA,NA
"5",0,1177,"Novel94","Novel113",1,"Novel113","Same vs. Same",0,6,1,1,2,"Novel49","Novel46",TRUE,FALSE,"Same","Same"
"6",0,1380,"Novel28","Novel107",0,"Novel107","Same vs. Switch",1,4,0,1,2,"Novel53","Novel110",TRUE,FALSE,"Same","Switch"
"7",0,1668,"Novel8","Novel120",0,"Novel91","Switch vs. Same",1,0,1,1,2,"Novel120","Novel140",FALSE,TRUE,"Switch","Same"
"8",1,1968,"Novel23","Novel38",0,"Novel5","Switch vs. Switch",1,2,0,1,2,"Novel134","Novel38",FALSE,TRUE,"Switch","Switch"
"9",0,5617,"","squirrel",0,"","Practice",0,0,0,2,2,NA,NA,NA,NA,NA,NA
"10",0,1869,"","squirrel",0,"","Practice",0,0,0,2,2,NA,NA,NA,NA,NA,NA
"11",0,2110,"","tomato",0,"","Practice",0,0,0,2,2,NA,NA,NA,NA,NA,NA
"12",1,2013,"","tomato",0,"","Practice",0,0,0,2,2,NA,NA,NA,NA,NA,NA
"13",0,1363,"Novel29","Novel75",0,"Novel75","Same vs. Same",1,2,0,2,2,"Novel20","Novel52",TRUE,FALSE,"Same","Same"
"14",1,2120,"Novel92","Novel117",0,"Novel117","Same vs. Switch",1,4,1,2,2,"Novel6","Novel46",TRUE,FALSE,"Same","Switch"
"15",0,2595,"Novel43","Novel56",0,"Novel3","Switch vs. Same",1,6,1,2,2,"Novel56","Novel110",FALSE,TRUE,"Switch","Same"
"16",0,2150,"Novel83","Novel83",0,"Novel134","Switch vs. Switch",1,0,0,2,2,"Novel48","Novel84",TRUE,FALSE,"Switch","Switch"
